skills,interests,education,recommended_career,skills_mapped
"pytorch, sql, tableau",,associate,principal data scientist,pytorch;sql;tableau
"azure, sql, java",,associate,data analyst,azure;java;sql
"tableau, azure, kubernetes, mathematics",,phd,computer vision engineer,azure;kubernetes;mathematics;tableau
"python, tensorflow, pytorch, tableau, mathematics",,bachelor,machine learning researcher,mathematics;python;pytorch;tableau;tensorflow
"mathematics, hadoop, python, spark",,phd,nlp engineer,hadoop;mathematics;python;spark
"tensorflow, deep learning, tableau, kubernetes, sql",,bachelor,computer vision engineer,deep learning;kubernetes;sql;tableau;tensorflow
"tensorflow, docker, kubernetes, gcp, data visualization",,bachelor,principal data scientist,data visualization;docker;gcp;kubernetes;tensorflow
"tableau, gcp, scala, nlp",,bachelor,ai consultant,gcp;nlp;scala;tableau
"mathematics, hadoop, data visualization, aws",,master,deep learning engineer,aws;data visualization;hadoop;mathematics
"mathematics, sql, aws, kubernetes, linux",,phd,data analyst,aws;kubernetes;linux;mathematics;sql
"r, deep learning, tableau, pytorch, mathematics",,phd,ai architect,deep learning;mathematics;pytorch;r;tableau
"kubernetes, aws, gcp",,phd,nlp engineer,aws;gcp;kubernetes
"python, hadoop, mathematics, tableau, computer vision",,master,head of ai,computer vision;hadoop;mathematics;python;tableau
"docker, python, statistics",,master,computer vision engineer,docker;python;statistics
"pytorch, scala, mlops, computer vision",,phd,ai consultant,computer vision;mlops;pytorch;scala
"aws, docker, data visualization, deep learning",,master,data scientist,aws;data visualization;deep learning;docker
"kubernetes, scala, computer vision, hadoop",,phd,ai specialist,computer vision;hadoop;kubernetes;scala
"tableau, python, hadoop",,master,data scientist,hadoop;python;tableau
"python, kubernetes, git, linux",,phd,ai product manager,git;kubernetes;linux;python
"r, pytorch, spark, statistics",,phd,data engineer,pytorch;r;spark;statistics
"linux, data visualization, hadoop, azure, tableau",,bachelor,head of ai,azure;data visualization;hadoop;linux;tableau
"data visualization, git, python, scala, computer vision",,master,autonomous systems engineer,computer vision;data visualization;git;python;scala
"sql, gcp, git",,phd,machine learning researcher,gcp;git;sql
"sql, deep learning, scala, computer vision, pytorch",,bachelor,ai architect,computer vision;deep learning;pytorch;scala;sql
"pytorch, linux, statistics, gcp, python",,bachelor,data scientist,gcp;linux;python;pytorch;statistics
"aws, kubernetes, nlp, azure",,bachelor,ai software engineer,aws;azure;kubernetes;nlp
"pytorch, python, computer vision, scala",,associate,ai specialist,computer vision;python;pytorch;scala
"pytorch, data visualization, scala, linux, tensorflow",,bachelor,ai specialist,data visualization;linux;pytorch;scala;tensorflow
"java, tableau, r, statistics, gcp",,associate,ai architect,gcp;java;r;statistics;tableau
"statistics, data visualization, gcp, hadoop",,associate,data analyst,data visualization;gcp;hadoop;statistics
"statistics, r, mathematics",,associate,computer vision engineer,mathematics;r;statistics
"nlp, sql, data visualization, azure",,associate,autonomous systems engineer,azure;data visualization;nlp;sql
"linux, python, java, spark",,bachelor,ai product manager,java;linux;python;spark
"python, mlops, computer vision",,associate,ai research scientist,computer vision;mlops;python
"python, git, tensorflow, mlops",,master,head of ai,git;mlops;python;tensorflow
"spark, tableau, azure, gcp",,bachelor,nlp engineer,azure;gcp;spark;tableau
"r, pytorch, docker, linux",,master,ai consultant,docker;linux;pytorch;r
"nlp, spark, deep learning, mlops",,phd,data scientist,deep learning;mlops;nlp;spark
"kubernetes, git, sql",,associate,ai research scientist,git;kubernetes;sql
"docker, python, tensorflow",,phd,data analyst,docker;python;tensorflow
"computer vision, hadoop, mathematics",,master,machine learning engineer,computer vision;hadoop;mathematics
"mlops, tableau, sql, data visualization, r",,phd,autonomous systems engineer,data visualization;mlops;r;sql;tableau
"deep learning, pytorch, tensorflow, gcp",,bachelor,ai research scientist,deep learning;gcp;pytorch;tensorflow
"tensorflow, sql, mlops, gcp",,bachelor,computer vision engineer,gcp;mlops;sql;tensorflow
"gcp, sql, azure",,phd,robotics engineer,azure;gcp;sql
"sql, docker, data visualization",,associate,machine learning researcher,data visualization;docker;sql
"sql, tensorflow, data visualization, linux",,phd,head of ai,data visualization;linux;sql;tensorflow
"gcp, git, deep learning, docker",,bachelor,data analyst,deep learning;docker;gcp;git
"mathematics, data visualization, tableau, linux, hadoop",,bachelor,machine learning engineer,data visualization;hadoop;linux;mathematics;tableau
"java, computer vision, python, tableau, data visualization",,phd,computer vision engineer,computer vision;data visualization;java;python;tableau
"git, deep learning, data visualization",,phd,ai specialist,data visualization;deep learning;git
"sql, deep learning, java, python",,associate,autonomous systems engineer,deep learning;java;python;sql
"azure, java, mlops, sql, r",,phd,ai software engineer,azure;java;mlops;r;sql
"scala, git, computer vision, spark",,associate,ai research scientist,computer vision;git;scala;spark
"linux, statistics, pytorch, mathematics, tableau",,bachelor,principal data scientist,linux;mathematics;pytorch;statistics;tableau
"deep learning, aws, computer vision, scala",,bachelor,research scientist,aws;computer vision;deep learning;scala
"tensorflow, azure, mathematics, kubernetes, aws",,bachelor,machine learning researcher,aws;azure;kubernetes;mathematics;tensorflow
"linux, scala, mathematics, kubernetes, tableau",,phd,machine learning researcher,kubernetes;linux;mathematics;scala;tableau
"tableau, pytorch, git",,bachelor,principal data scientist,git;pytorch;tableau
"kubernetes, r, aws, mathematics, statistics",,bachelor,computer vision engineer,aws;kubernetes;mathematics;r;statistics
"hadoop, tensorflow, java, gcp, docker",,bachelor,ai consultant,docker;gcp;hadoop;java;tensorflow
"data visualization, hadoop, computer vision",,associate,ai research scientist,computer vision;data visualization;hadoop
"python, java, hadoop, gcp, nlp",,bachelor,machine learning researcher,gcp;hadoop;java;nlp;python
"tensorflow, python, hadoop, tableau",,master,data scientist,hadoop;python;tableau;tensorflow
"git, deep learning, azure",,master,ml ops engineer,azure;deep learning;git
"python, sql, tensorflow, aws, java",,phd,data analyst,aws;java;python;sql;tensorflow
"pytorch, hadoop, docker, computer vision",,phd,ai architect,computer vision;docker;hadoop;pytorch
"pytorch, python, java, nlp, hadoop",,phd,data analyst,hadoop;java;nlp;python;pytorch
"tableau, tensorflow, python",,phd,robotics engineer,python;tableau;tensorflow
"aws, pytorch, sql",,bachelor,robotics engineer,aws;pytorch;sql
"tensorflow, deep learning, azure",,master,autonomous systems engineer,azure;deep learning;tensorflow
"data visualization, git, gcp",,master,ai software engineer,data visualization;gcp;git
"azure, r, scala, sql, git",,associate,data scientist,azure;git;r;scala;sql
"java, computer vision, sql",,bachelor,machine learning engineer,computer vision;java;sql
"sql, kubernetes, nlp",,master,ml ops engineer,kubernetes;nlp;sql
"docker, nlp, data visualization, linux",,master,ai specialist,data visualization;docker;linux;nlp
"sql, pytorch, deep learning, azure, aws",,master,ai consultant,aws;azure;deep learning;pytorch;sql
"r, python, statistics, spark, gcp",,associate,ai specialist,gcp;python;r;spark;statistics
"python, git, spark",,associate,ai architect,git;python;spark
"python, tableau, git",,master,ai specialist,git;python;tableau
"mlops, tableau, sql",,phd,ml ops engineer,mlops;sql;tableau
"hadoop, kubernetes, mlops",,bachelor,ai research scientist,hadoop;kubernetes;mlops
"tensorflow, spark, data visualization, sql, docker",,bachelor,computer vision engineer,data visualization;docker;spark;sql;tensorflow
"r, data visualization, linux",,phd,principal data scientist,data visualization;linux;r
"python, sql, tableau, git, java",,master,ai software engineer,git;java;python;sql;tableau
"data visualization, spark, pytorch, git, statistics",,bachelor,data engineer,data visualization;git;pytorch;spark;statistics
"computer vision, pytorch, tableau",,master,principal data scientist,computer vision;pytorch;tableau
"java, azure, tableau, python",,associate,data analyst,azure;java;python;tableau
"git, python, hadoop",,master,ai architect,git;hadoop;python
"spark, pytorch, r, computer vision",,master,machine learning researcher,computer vision;pytorch;r;spark
"sql, scala, kubernetes, deep learning",,phd,data analyst,deep learning;kubernetes;scala;sql
"sql, tensorflow, computer vision, statistics",,bachelor,machine learning researcher,computer vision;sql;statistics;tensorflow
"data visualization, hadoop, python, r",,master,machine learning researcher,data visualization;hadoop;python;r
"pytorch, python, docker, mathematics, sql",,master,ai software engineer,docker;mathematics;python;pytorch;sql
"python, data visualization, sql, computer vision, hadoop",,associate,ai specialist,computer vision;data visualization;hadoop;python;sql
"statistics, git, mlops, gcp",,phd,deep learning engineer,gcp;git;mlops;statistics
"hadoop, kubernetes, git, pytorch, linux",,phd,research scientist,git;hadoop;kubernetes;linux;pytorch
"java, sql, data visualization",,bachelor,deep learning engineer,data visualization;java;sql
"python, git, tensorflow, computer vision",,master,ai consultant,computer vision;git;python;tensorflow
"data visualization, r, python, tensorflow",,associate,machine learning researcher,data visualization;python;r;tensorflow
"git, aws, hadoop, r",,associate,ai software engineer,aws;git;hadoop;r
"statistics, data visualization, aws, mathematics, python",,bachelor,data engineer,aws;data visualization;mathematics;python;statistics
"gcp, java, hadoop, scala",,associate,research scientist,gcp;hadoop;java;scala
"tableau, git, pytorch, tensorflow",,associate,principal data scientist,git;pytorch;tableau;tensorflow
"deep learning, python, tableau, hadoop",,master,ai product manager,deep learning;hadoop;python;tableau
"sql, mlops, pytorch, statistics, python",,associate,ai software engineer,mlops;python;pytorch;sql;statistics
"scala, python, tensorflow, aws, mathematics",,associate,ai software engineer,aws;mathematics;python;scala;tensorflow
"aws, java, python",,bachelor,deep learning engineer,aws;java;python
"pytorch, hadoop, kubernetes, azure",,master,ai specialist,azure;hadoop;kubernetes;pytorch
"sql, azure, kubernetes, gcp, nlp",,master,ai software engineer,azure;gcp;kubernetes;nlp;sql
"r, nlp, data visualization, kubernetes",,phd,ai product manager,data visualization;kubernetes;nlp;r
"tableau, java, python",,master,autonomous systems engineer,java;python;tableau
"python, docker, hadoop, statistics",,associate,ai product manager,docker;hadoop;python;statistics
"aws, azure, deep learning, python",,bachelor,machine learning engineer,aws;azure;deep learning;python
"python, kubernetes, r",,associate,nlp engineer,kubernetes;python;r
"python, statistics, mathematics",,associate,head of ai,mathematics;python;statistics
"deep learning, mathematics, data visualization",,master,nlp engineer,data visualization;deep learning;mathematics
"hadoop, java, scala, azure",,associate,robotics engineer,azure;hadoop;java;scala
"scala, data visualization, statistics",,associate,machine learning researcher,data visualization;scala;statistics
"spark, pytorch, tableau",,phd,data engineer,pytorch;spark;tableau
"java, git, aws, linux, computer vision",,associate,ai product manager,aws;computer vision;git;java;linux
"kubernetes, tensorflow, tableau, mlops, data visualization",,master,ml ops engineer,data visualization;kubernetes;mlops;tableau;tensorflow
"linux, kubernetes, scala, java",,phd,head of ai,java;kubernetes;linux;scala
"data visualization, scala, tableau",,phd,ai product manager,data visualization;scala;tableau
"data visualization, tableau, sql, nlp, python",,phd,principal data scientist,data visualization;nlp;python;sql;tableau
"docker, git, data visualization",,phd,data scientist,data visualization;docker;git
"hadoop, computer vision, aws, pytorch",,associate,ai consultant,aws;computer vision;hadoop;pytorch
"hadoop, r, sql, mlops, nlp",,phd,head of ai,hadoop;mlops;nlp;r;sql
"data visualization, pytorch, scala, aws",,bachelor,ai software engineer,aws;data visualization;pytorch;scala
"azure, kubernetes, statistics",,associate,head of ai,azure;kubernetes;statistics
"deep learning, data visualization, tableau, spark, computer vision",,phd,ai research scientist,computer vision;data visualization;deep learning;spark;tableau
"linux, deep learning, sql",,phd,ml ops engineer,deep learning;linux;sql
"python, deep learning, java, sql",,bachelor,ai architect,deep learning;java;python;sql
"kubernetes, docker, sql, tableau",,associate,principal data scientist,docker;kubernetes;sql;tableau
"docker, azure, mathematics, java",,associate,robotics engineer,azure;docker;java;mathematics
"deep learning, aws, r, python",,master,head of ai,aws;deep learning;python;r
"r, tableau, scala",,bachelor,autonomous systems engineer,r;scala;tableau
"mlops, git, sql",,bachelor,computer vision engineer,git;mlops;sql
"linux, hadoop, kubernetes",,associate,ai architect,hadoop;kubernetes;linux
"git, gcp, mlops, python, azure",,phd,head of ai,azure;gcp;git;mlops;python
"azure, pytorch, scala, git, tensorflow",,bachelor,autonomous systems engineer,azure;git;pytorch;scala;tensorflow
"statistics, pytorch, nlp, azure",,master,machine learning engineer,azure;nlp;pytorch;statistics
"python, sql, linux, gcp, hadoop",,bachelor,machine learning engineer,gcp;hadoop;linux;python;sql
"tableau, sql, scala",,phd,nlp engineer,scala;sql;tableau
"gcp, mathematics, git, sql",,associate,ai research scientist,gcp;git;mathematics;sql
"mlops, spark, deep learning, aws, r",,associate,ai research scientist,aws;deep learning;mlops;r;spark
"r, deep learning, statistics, python, tensorflow",,associate,principal data scientist,deep learning;python;r;statistics;tensorflow
"tensorflow, python, java",,bachelor,ai specialist,java;python;tensorflow
"spark, tensorflow, python, git",,bachelor,data engineer,git;python;spark;tensorflow
"kubernetes, sql, statistics, mlops, azure",,associate,robotics engineer,azure;kubernetes;mlops;sql;statistics
"data visualization, scala, aws, computer vision, sql",,bachelor,head of ai,aws;computer vision;data visualization;scala;sql
"linux, kubernetes, docker, tableau",,phd,research scientist,docker;kubernetes;linux;tableau
"deep learning, hadoop, r, sql, nlp",,master,ai architect,deep learning;hadoop;nlp;r;sql
"data visualization, python, hadoop, linux, java",,associate,ai product manager,data visualization;hadoop;java;linux;python
"azure, tensorflow, tableau, data visualization, gcp",,bachelor,ai specialist,azure;data visualization;gcp;tableau;tensorflow
"kubernetes, python, spark, data visualization",,associate,ai specialist,data visualization;kubernetes;python;spark
"azure, python, data visualization, java, gcp",,master,ai product manager,azure;data visualization;gcp;java;python
"data visualization, mathematics, sql",,bachelor,head of ai,data visualization;mathematics;sql
"aws, hadoop, java",,bachelor,autonomous systems engineer,aws;hadoop;java
"pytorch, git, data visualization, scala, hadoop",,bachelor,ai product manager,data visualization;git;hadoop;pytorch;scala
"linux, sql, nlp",,bachelor,deep learning engineer,linux;nlp;sql
"git, aws, kubernetes",,associate,head of ai,aws;git;kubernetes
"spark, gcp, pytorch, mathematics",,associate,deep learning engineer,gcp;mathematics;pytorch;spark
"mlops, azure, deep learning",,phd,robotics engineer,azure;deep learning;mlops
"linux, python, tensorflow, pytorch",,associate,ai consultant,linux;python;pytorch;tensorflow
"python, spark, pytorch, kubernetes",,master,research scientist,kubernetes;python;pytorch;spark
"spark, python, sql, gcp",,associate,deep learning engineer,gcp;python;spark;sql
"kubernetes, java, hadoop",,master,nlp engineer,hadoop;java;kubernetes
"deep learning, git, java, sql",,phd,data scientist,deep learning;git;java;sql
"scala, mathematics, deep learning",,master,machine learning engineer,deep learning;mathematics;scala
"tableau, sql, scala, pytorch, python",,master,data engineer,python;pytorch;scala;sql;tableau
"kubernetes, git, spark, scala",,bachelor,machine learning engineer,git;kubernetes;scala;spark
"aws, python, git, deep learning, tensorflow",,bachelor,ai product manager,aws;deep learning;git;python;tensorflow
"spark, git, r, java",,phd,machine learning engineer,git;java;r;spark
"scala, git, kubernetes, sql, aws",,master,machine learning engineer,aws;git;kubernetes;scala;sql
"computer vision, spark, deep learning, sql",,bachelor,data engineer,computer vision;deep learning;spark;sql
"hadoop, nlp, deep learning, tableau, kubernetes",,master,deep learning engineer,deep learning;hadoop;kubernetes;nlp;tableau
"docker, scala, sql, kubernetes",,bachelor,computer vision engineer,docker;kubernetes;scala;sql
"nlp, sql, linux, git, gcp",,phd,deep learning engineer,gcp;git;linux;nlp;sql
"hadoop, java, data visualization, nlp",,master,deep learning engineer,data visualization;hadoop;java;nlp
"spark, data visualization, kubernetes",,master,ai architect,data visualization;kubernetes;spark
"sql, pytorch, tensorflow, linux",,master,data analyst,linux;pytorch;sql;tensorflow
"git, mlops, data visualization",,bachelor,autonomous systems engineer,data visualization;git;mlops
"sql, pytorch, linux, scala",,phd,data engineer,linux;pytorch;scala;sql
"python, computer vision, tableau, tensorflow, git",,associate,machine learning engineer,computer vision;git;python;tableau;tensorflow
"pytorch, java, tableau, docker, statistics",,associate,machine learning engineer,docker;java;pytorch;statistics;tableau
"git, azure, computer vision, kubernetes",,master,ai consultant,azure;computer vision;git;kubernetes
"python, tensorflow, computer vision, statistics",,associate,ai software engineer,computer vision;python;statistics;tensorflow
"computer vision, azure, statistics, sql, spark",,bachelor,ai software engineer,azure;computer vision;spark;sql;statistics
"nlp, aws, sql, computer vision",,phd,deep learning engineer,aws;computer vision;nlp;sql
"mlops, aws, kubernetes, scala, hadoop",,master,ai specialist,aws;hadoop;kubernetes;mlops;scala
"git, aws, python, computer vision, statistics",,bachelor,ai consultant,aws;computer vision;git;python;statistics
"spark, docker, computer vision, statistics, python",,master,ai specialist,computer vision;docker;python;spark;statistics
"pytorch, docker, git",,bachelor,ai architect,docker;git;pytorch
"data visualization, aws, spark, mathematics",,bachelor,research scientist,aws;data visualization;mathematics;spark
"kubernetes, sql, mathematics",,bachelor,machine learning researcher,kubernetes;mathematics;sql
"linux, computer vision, r, statistics",,associate,robotics engineer,computer vision;linux;r;statistics
"kubernetes, sql, statistics, computer vision, java",,master,ai specialist,computer vision;java;kubernetes;sql;statistics
"sql, tableau, linux",,phd,robotics engineer,linux;sql;tableau
"computer vision, spark, statistics, python",,associate,ai consultant,computer vision;python;spark;statistics
"git, data visualization, nlp",,associate,machine learning researcher,data visualization;git;nlp
"python, computer vision, statistics",,phd,data engineer,computer vision;python;statistics
"git, nlp, gcp",,bachelor,computer vision engineer,gcp;git;nlp
"sql, aws, mathematics, nlp",,bachelor,machine learning researcher,aws;mathematics;nlp;sql
"linux, nlp, kubernetes, aws, python",,phd,data engineer,aws;kubernetes;linux;nlp;python
"gcp, mathematics, sql, scala, deep learning",,master,head of ai,deep learning;gcp;mathematics;scala;sql
"statistics, nlp, sql, kubernetes",,master,data engineer,kubernetes;nlp;sql;statistics
"spark, nlp, python",,bachelor,ai specialist,nlp;python;spark
"mathematics, spark, deep learning, nlp",,bachelor,ai architect,deep learning;mathematics;nlp;spark
"python, spark, statistics, data visualization",,bachelor,ai research scientist,data visualization;python;spark;statistics
"python, mathematics, kubernetes, hadoop",,bachelor,research scientist,hadoop;kubernetes;mathematics;python
"nlp, tensorflow, java, linux, r",,bachelor,machine learning researcher,java;linux;nlp;r;tensorflow
"nlp, java, mathematics, python",,associate,computer vision engineer,java;mathematics;nlp;python
"java, pytorch, spark",,bachelor,data scientist,java;pytorch;spark
"scala, gcp, hadoop, sql",,associate,ml ops engineer,gcp;hadoop;scala;sql
"kubernetes, deep learning, data visualization, spark",,associate,ai specialist,data visualization;deep learning;kubernetes;spark
"data visualization, scala, spark, computer vision",,bachelor,ml ops engineer,computer vision;data visualization;scala;spark
"deep learning, kubernetes, nlp, spark",,phd,data scientist,deep learning;kubernetes;nlp;spark
"tableau, azure, hadoop, r, nlp",,master,head of ai,azure;hadoop;nlp;r;tableau
"python, statistics, git",,bachelor,ai specialist,git;python;statistics
"linux, mathematics, deep learning",,bachelor,robotics engineer,deep learning;linux;mathematics
"data visualization, gcp, spark, tensorflow",,associate,head of ai,data visualization;gcp;spark;tensorflow
"computer vision, linux, mathematics, git, kubernetes",,phd,computer vision engineer,computer vision;git;kubernetes;linux;mathematics
"python, java, git, linux, gcp",,master,robotics engineer,gcp;git;java;linux;python
"scala, nlp, java, hadoop",,associate,data engineer,hadoop;java;nlp;scala
"java, computer vision, r",,associate,principal data scientist,computer vision;java;r
"hadoop, java, aws, r, mlops",,bachelor,principal data scientist,aws;hadoop;java;mlops;r
"azure, linux, deep learning",,phd,autonomous systems engineer,azure;deep learning;linux
"python, computer vision, deep learning",,associate,machine learning researcher,computer vision;deep learning;python
"hadoop, sql, linux, data visualization, gcp",,phd,research scientist,data visualization;gcp;hadoop;linux;sql
"nlp, scala, java, linux",,associate,ai research scientist,java;linux;nlp;scala
"mlops, aws, java, sql, git",,master,ai specialist,aws;git;java;mlops;sql
"linux, statistics, deep learning, mlops",,bachelor,autonomous systems engineer,deep learning;linux;mlops;statistics
"data visualization, scala, sql, aws",,master,data scientist,aws;data visualization;scala;sql
"deep learning, pytorch, mlops",,bachelor,ml ops engineer,deep learning;mlops;pytorch
"sql, pytorch, gcp, hadoop",,phd,machine learning researcher,gcp;hadoop;pytorch;sql
"java, r, python, azure, mathematics",,master,machine learning engineer,azure;java;mathematics;python;r
"kubernetes, hadoop, java",,bachelor,machine learning researcher,hadoop;java;kubernetes
"spark, java, pytorch, gcp",,master,ai consultant,gcp;java;pytorch;spark
"r, gcp, computer vision, spark, sql",,master,ml ops engineer,computer vision;gcp;r;spark;sql
"hadoop, statistics, sql, tableau",,bachelor,machine learning researcher,hadoop;sql;statistics;tableau
"sql, python, git, kubernetes",,master,ai consultant,git;kubernetes;python;sql
"sql, scala, azure, computer vision, gcp",,bachelor,ai software engineer,azure;computer vision;gcp;scala;sql
"sql, docker, data visualization, hadoop, deep learning",,associate,ai software engineer,data visualization;deep learning;docker;hadoop;sql
"docker, aws, nlp",,phd,robotics engineer,aws;docker;nlp
"java, mlops, r, nlp",,phd,autonomous systems engineer,java;mlops;nlp;r
"tensorflow, r, statistics",,master,ai software engineer,r;statistics;tensorflow
"sql, python, deep learning, aws, statistics",,associate,machine learning engineer,aws;deep learning;python;sql;statistics
"java, r, hadoop",,associate,data scientist,hadoop;java;r
"docker, linux, azure, statistics, tableau",,associate,ai product manager,azure;docker;linux;statistics;tableau
"scala, pytorch, gcp, spark, computer vision",,master,ai consultant,computer vision;gcp;pytorch;scala;spark
"tableau, java, scala, data visualization, tensorflow",,phd,data engineer,data visualization;java;scala;tableau;tensorflow
"linux, pytorch, data visualization",,bachelor,robotics engineer,data visualization;linux;pytorch
"linux, azure, mlops, git",,bachelor,ai consultant,azure;git;linux;mlops
"computer vision, mlops, gcp",,master,deep learning engineer,computer vision;gcp;mlops
"scala, sql, spark, gcp",,phd,ai product manager,gcp;scala;spark;sql
"sql, aws, scala, gcp, azure",,bachelor,deep learning engineer,aws;azure;gcp;scala;sql
"spark, pytorch, java, tensorflow",,bachelor,ai consultant,java;pytorch;spark;tensorflow
"sql, hadoop, azure",,master,ai research scientist,azure;hadoop;sql
"python, gcp, azure, sql, tensorflow",,bachelor,computer vision engineer,azure;gcp;python;sql;tensorflow
"computer vision, pytorch, tableau",,phd,ai specialist,computer vision;pytorch;tableau
"mlops, sql, aws, nlp, data visualization",,bachelor,ai architect,aws;data visualization;mlops;nlp;sql
"python, kubernetes, statistics, aws",,master,ai software engineer,aws;kubernetes;python;statistics
"mathematics, pytorch, scala",,associate,deep learning engineer,mathematics;pytorch;scala
"azure, java, git",,master,ai specialist,azure;git;java
"scala, kubernetes, r, gcp, hadoop",,master,autonomous systems engineer,gcp;hadoop;kubernetes;r;scala
"gcp, python, tensorflow, deep learning",,phd,ml ops engineer,deep learning;gcp;python;tensorflow
"computer vision, statistics, nlp, kubernetes",,master,robotics engineer,computer vision;kubernetes;nlp;statistics
"python, hadoop, r, linux",,associate,ai software engineer,hadoop;linux;python;r
"hadoop, tableau, aws, pytorch",,master,machine learning engineer,aws;hadoop;pytorch;tableau
"spark, sql, azure, mlops",,phd,research scientist,azure;mlops;spark;sql
"tensorflow, docker, tableau, java",,master,data analyst,docker;java;tableau;tensorflow
"computer vision, mlops, statistics",,associate,ai research scientist,computer vision;mlops;statistics
"tableau, python, nlp, spark, computer vision",,master,computer vision engineer,computer vision;nlp;python;spark;tableau
"java, scala, mlops",,master,ai consultant,java;mlops;scala
"tensorflow, sql, data visualization, mathematics",,master,ai software engineer,data visualization;mathematics;sql;tensorflow
"deep learning, python, linux",,master,autonomous systems engineer,deep learning;linux;python
"sql, docker, pytorch, hadoop, scala",,bachelor,ai research scientist,docker;hadoop;pytorch;scala;sql
"computer vision, tableau, scala, deep learning, azure",,associate,ai research scientist,azure;computer vision;deep learning;scala;tableau
"gcp, python, deep learning, tensorflow",,phd,ai software engineer,deep learning;gcp;python;tensorflow
"scala, azure, tableau",,associate,machine learning engineer,azure;scala;tableau
"mathematics, sql, data visualization, linux",,master,deep learning engineer,data visualization;linux;mathematics;sql
"java, sql, kubernetes, aws",,associate,ai architect,aws;java;kubernetes;sql
"r, scala, gcp, linux",,bachelor,deep learning engineer,gcp;linux;r;scala
"sql, scala, nlp, statistics, pytorch",,master,machine learning engineer,nlp;pytorch;scala;sql;statistics
"hadoop, mathematics, nlp, aws",,bachelor,autonomous systems engineer,aws;hadoop;mathematics;nlp
"sql, data visualization, linux",,master,ai specialist,data visualization;linux;sql
"python, mathematics, gcp, aws",,phd,ai research scientist,aws;gcp;mathematics;python
"data visualization, aws, sql, statistics",,associate,research scientist,aws;data visualization;sql;statistics
"deep learning, scala, pytorch, mathematics, gcp",,associate,research scientist,deep learning;gcp;mathematics;pytorch;scala
"java, scala, linux, deep learning",,bachelor,machine learning engineer,deep learning;java;linux;scala
"scala, hadoop, statistics, tensorflow",,associate,ai architect,hadoop;scala;statistics;tensorflow
"sql, linux, java, pytorch",,bachelor,machine learning engineer,java;linux;pytorch;sql
"tableau, gcp, tensorflow, pytorch, azure",,associate,data analyst,azure;gcp;pytorch;tableau;tensorflow
"r, aws, nlp, mlops, spark",,phd,computer vision engineer,aws;mlops;nlp;r;spark
"python, nlp, kubernetes, computer vision",,associate,ai architect,computer vision;kubernetes;nlp;python
"java, linux, sql, deep learning",,bachelor,computer vision engineer,deep learning;java;linux;sql
"kubernetes, sql, tableau, tensorflow, mathematics",,bachelor,data scientist,kubernetes;mathematics;sql;tableau;tensorflow
"kubernetes, sql, data visualization",,phd,autonomous systems engineer,data visualization;kubernetes;sql
"nlp, data visualization, pytorch, mlops, tensorflow",,master,machine learning researcher,data visualization;mlops;nlp;pytorch;tensorflow
"gcp, python, spark",,master,ai product manager,gcp;python;spark
"statistics, kubernetes, java, gcp, scala",,master,data analyst,gcp;java;kubernetes;scala;statistics
"scala, hadoop, java, mathematics, statistics",,associate,data analyst,hadoop;java;mathematics;scala;statistics
"sql, pytorch, data visualization",,associate,computer vision engineer,data visualization;pytorch;sql
"sql, kubernetes, spark, hadoop",,bachelor,machine learning researcher,hadoop;kubernetes;spark;sql
"aws, linux, scala",,associate,data analyst,aws;linux;scala
"sql, tableau, java, kubernetes",,phd,computer vision engineer,java;kubernetes;sql;tableau
"tensorflow, sql, scala, azure",,master,deep learning engineer,azure;scala;sql;tensorflow
"statistics, hadoop, computer vision",,phd,ai specialist,computer vision;hadoop;statistics
"computer vision, mathematics, nlp",,bachelor,nlp engineer,computer vision;mathematics;nlp
"linux, docker, data visualization, git",,master,machine learning engineer,data visualization;docker;git;linux
"git, scala, deep learning, r, azure",,phd,ml ops engineer,azure;deep learning;git;r;scala
"deep learning, java, mathematics, hadoop, pytorch",,associate,computer vision engineer,deep learning;hadoop;java;mathematics;pytorch
"pytorch, gcp, sql",,master,deep learning engineer,gcp;pytorch;sql
"python, deep learning, docker",,phd,machine learning researcher,deep learning;docker;python
"data visualization, python, sql, git",,associate,head of ai,data visualization;git;python;sql
"pytorch, python, git",,phd,machine learning researcher,git;python;pytorch
"nlp, java, git, kubernetes",,phd,ai architect,git;java;kubernetes;nlp
"python, statistics, docker",,bachelor,machine learning researcher,docker;python;statistics
"docker, mlops, aws, deep learning",,master,autonomous systems engineer,aws;deep learning;docker;mlops
"computer vision, sql, pytorch, mathematics, aws",,master,ai research scientist,aws;computer vision;mathematics;pytorch;sql
"data visualization, r, java, mlops",,phd,principal data scientist,data visualization;java;mlops;r
"mathematics, deep learning, hadoop, docker, java",,master,ai research scientist,deep learning;docker;hadoop;java;mathematics
"git, sql, python, nlp, deep learning",,bachelor,autonomous systems engineer,deep learning;git;nlp;python;sql
"azure, sql, kubernetes, computer vision, statistics",,bachelor,data engineer,azure;computer vision;kubernetes;sql;statistics
"hadoop, linux, aws, pytorch, mlops",,associate,ai architect,aws;hadoop;linux;mlops;pytorch
"azure, computer vision, git, aws, docker",,phd,machine learning engineer,aws;azure;computer vision;docker;git
"pytorch, mlops, spark",,phd,ai consultant,mlops;pytorch;spark
"tensorflow, tableau, r",,phd,head of ai,r;tableau;tensorflow
"spark, sql, pytorch, deep learning",,associate,principal data scientist,deep learning;pytorch;spark;sql
